gene,p_value,coefficients,variance_explained
Col9a1,0.9944799106284415,"[ 0.00103857  0.00224672  0.0029175   0.0024233   0.00843984 -0.01706594
 -0.96477479]","OrderedDict([('explained_deviance', 6.480295327015995e-07), ('McFadden', 0.9999992623636855), ('McFadden_adj', -2.1044784477286527e-06)])"
Col19a1,0.9979164621756752,"[ 0.01340527  0.00677528 -0.00344307  0.01091434  0.01300194 -0.04065376
 -0.92872875]","OrderedDict([('explained_deviance', 4.854433134360292e-07), ('McFadden', 0.9999998454134528), ('McFadden_adj', -2.8838869501335296e-06)])"
Lmbrd1,0.7452990663191527,"[-0.03288889 -0.01299591  0.01657664 -0.01248709 -0.01838564  0.06018088
 -0.98348419]","OrderedDict([('explained_deviance', 1.0021734558662843e-05), ('McFadden', 0.9999885496428088), ('McFadden_adj', 8.749780745720415e-06)])"
Adgrb3,0.9912799624013611,"[-0.01461203 -0.00675821  0.00542418 -0.0073353  -0.00938802  0.03266939
 -1.03966054]","OrderedDict([('explained_deviance', 1.7771721924075834e-06), ('McFadden', 0.9999979537663866), ('McFadden_adj', -4.105859741088125e-07)])"
Phf3,0.8136779168521657,"[ 0.00395256  0.00223231 -0.00165659 -0.00506874 -0.00819291  0.00873336
 -1.01212731]","OrderedDict([('explained_deviance', 1.089723812808252e-05), ('McFadden', 0.9999856429672783), ('McFadden_adj', 1.1777957797609595e-05)])"
Khdrbs2,0.857423837410395,"[-0.03415895 -0.01066672  0.02200561 -0.01409601 -0.02578151  0.06269757
 -0.99599256]","OrderedDict([('explained_deviance', 1.3688389832844372e-05), ('McFadden', 0.9999865630396924), ('McFadden_adj', 1.0805843518757463e-05)])"
Prim2,0.9644641034591646,"[-5.33654603e-03 -2.52003656e-03  2.61186343e-03  2.94725953e-03
 -1.16730385e-04  2.41418503e-03 -1.00113507e+00]","OrderedDict([('explained_deviance', 3.414665050494037e-06), ('McFadden', 0.9999956691171288), ('McFadden_adj', 1.6758290285467936e-06)])"
Gm57180,0.9415260706084837,"[-0.03991964 -0.01560291  0.01958289 -0.02164869 -0.02474915  0.0823375
 -0.92271644]","OrderedDict([('explained_deviance', 6.115632409708915e-06), ('McFadden', 0.999994280713796), ('McFadden_adj', 2.742890393814257e-06)])"
Rab23,0.9784805705509976,"[-0.0072962  -0.00308602  0.00212942 -0.0120691  -0.00774722  0.02806911
 -0.97672048]","OrderedDict([('explained_deviance', 2.8153003763797813e-06), ('McFadden', 0.9999970580629405), ('McFadden_adj', 1.967191517460165e-07)])"
Bag2,0.9985357164869844,"[ 2.41190748e-03  1.65070375e-03 -3.13841801e-04 -1.52275809e-03
 -6.36460510e-04 -1.58955585e-03 -1.00742758e+00]","OrderedDict([('explained_deviance', 1.3611858085127437e-06), ('McFadden', 0.9999982037441166), ('McFadden_adj', -8.169785892242487e-07)])"
